18,12,5
33,12,5
8,19,7
8,18,7
45,27,12
45,28,12
9,19,7
9,18,7
32,17,5
31,16,5
10,21,6
10,20,6
24,8,12
24,9,12
24,14,14
24,15,14
24,46,12
24,45,12
9,18,6
9,17,6
40,30,10
39,30,10
8,17,7
24,25,14
24,24,14
10,17,6
10,18,6
10,20,5
10,21,5
14,22,5
14,23,5
9,16,6
8,18,6
42,16,6
9,21,6
9,20,6
9,19,6
23,19,13
23,20,13
22,16,10
22,15,10
20,14,10
20,13,10
23,18,13
42,15,10
41,15,10
23,10,11
23,9,11
10,19,6
16,23,5
16,22,5
35,15,5
34,14,5
9,20,5
9,19,5
25,12,9
25,13,9
24,26,14
10,27,14
41,30,10
19,28,6
32,28,6
11,20,5
11,21,5
23,13,13
23,13,14
15,22,5
15,23,5
7,19,7
7,18,7
42,24,7
43,24,7
24,26,16
24,25,16
21,11,16
21,10,16
42,28,11
43,28,11
22,10,15
22,11,15
10,22,5
20,12,5
20,13,5
11,22,5
23,14,13
8,19,6
22,19,12
22,18,12
42,23,7
41,23,7
9,17,7
23,20,15
23,21,15
36,24,7
12,23,5
12,22,5
18,19,4
18,20,4
13,22,5
13,23,5
42,28,10
43,28,10
42,26,11
41,26,11
23,18,12
25,19,12
10,25,14
10,26,14
10,16,6
42,15,6
23,7,10
23,8,10
24,23,14
41,22,7
42,22,7
44,16,7
8,20,6
9,47,12
10,47,12
26,11,10
26,10,10
20,16,7
20,17,7
23,41,15
23,42,15
43,15,7
10,19,5
24,24,16
36,22,7
41,15,11
40,15,11
18,51,15
17,51,15
20,15,8
20,14,8
18,16,6
18,17,6
21,15,8
21,16,8
28,17,9
27,17,9
23,9,10
23,10,10
24,42,15
24,41,15
23,20,18
23,19,18
24,15,16
24,14,16
12,21,5
23,21,13
15,15,14
15,14,14
20,13,6
20,14,6
28,13,10
28,12,10
41,14,6
23,14,16
23,15,16
24,12,14
23,11,15
11,17,6
11,16,6
23,37,17
23,36,17
8,26,11
9,26,11
23,17,13
23,34,15
24,34,15
40,21,17
40,20,17
40,19,17
12,16,6
12,17,6
15,15,15
15,14,15
43,18,14
43,19,14
41,24,6
42,24,6
44,20,5
28,11,5
28,12,5
20,6,8
22,6,8
20,11,15
20,12,15
40,20,15
40,19,15
11,18,8
12,17,8
15,12,10
19,13,10
23,21,18
23,22,15
23,14,8
26,15,8
22,14,10
19,16,4
19,17,4
35,26,19
35,27,19
9,17,12
9,17,13
16,16,17
16,15,17
42,21,8
32,21,8
22,9,11
22,10,11
30,5,8
15,7,8
34,27,19
19,18,4
42,22,8
43,22,8
42,14,10
41,21,7
